Untitled Report

Date/Time Generated,11/11/15 3:15 PM
Report Time Zone,Asia/Hong_Kong
Account ID,37103
Date Range,7/20/15 - 10/20/15
Campaign,Equals:SG_ECOM_1502_Display_Room Nights Acquisition 2015 (8479014)

Report Fields
Campaign,Campaign ID,Site (DCM),Placement,Date,Impressions,Clicks,Click Rate,Total Conversions,Click-through Conversions,Total Revenue
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-07-20,607,2,0.33,1,1,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-07-21,285,0,0.00,0,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-07-22,1473,6,0.41,6,6,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-07-23,992,3,0.30,1,1,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-07-24,1453,4,0.28,3,3,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-07-25,1375,4,0.29,3,3,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-07-26,616,3,0.49,1,1,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-07-27,883,4,0.45,5,5,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-07-28,1014,2,0.20,2,2,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-07-29,803,2,0.25,5,2,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-07-30,1538,1,0.07,1,1,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-07-31,1288,4,0.31,2,2,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-08-01,1346,1,0.07,1,1,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-08-02,875,1,0.11,2,1,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-08-03,1025,0,0.00,5,0,0.000000000
